,日期,天气,温度
0,2011/01/01,多云~雨夹雪,2~6℃
1,2011/01/02,多云,2~7℃
2,2011/01/03,多云~阴,2~7℃
3,2011/01/04,小雨,3~6℃
4,2011/01/05,阴~多云,-1~5℃
5,2011/01/06,晴~多云,-2~6℃
6,2011/01/07,阴~小雨,1~7℃
7,2011/01/08,雨夹雪~多云,-2~5℃
8,2011/01/09,雨夹雪,-2~4℃
9,2011/01/10,小雪,-3~2℃
10,2011/01/11,多云,0~4℃
11,2011/01/12,多云~小雨,2~5℃
12,2011/01/13,阴~多云,1~6℃
13,2011/01/14,多云,-1~5℃
14,2011/01/15,多云,0~5℃
15,2011/01/16,多云~雨夹雪,0~4℃
16,2011/01/26,阴,3~6℃
17,2011/01/29,多云,-2~3℃
18,2011/01/30,晴,-4~4℃
19,2011/01/31,晴,-4~7℃
20,2011/02/01,多云~晴,-2~9℃
21,2011/02/02,晴,1~10℃
22,2011/02/03,晴~多云,1~13℃
23,2011/02/04,晴,2~16℃
24,2011/02/05,晴,3~18℃
25,2011/02/06,多云~晴,5~18℃
26,2011/02/07,晴~阴,8~19℃
27,2011/02/08,多云,6~22℃
28,2011/02/09,阴~小雨,3~10℃
29,2011/02/10,中雨~雨夹雪,1~6℃
30,2011/02/11,多云,-1~5℃
31,2011/02/12,多云~雨夹雪,0~6℃
32,2011/02/13,雨夹雪,0~4℃
33,2011/02/14,多云,-2~4℃
34,2011/02/15,多云,3~7℃
35,2011/02/16,小雨,4~7℃
36,2011/02/17,小到中雨~阴,4~6℃
37,2011/02/18,小雨,5~8℃
38,2011/02/19,阴,3~7℃
39,2011/02/20,多云,3~10℃
40,2011/02/21,晴~多云,4~13℃
41,2011/02/22,多云,4~14℃
42,2011/02/23,多云~阴,5~17℃
43,2011/02/24,多云,8~19℃
44,2011/02/25,多云~阴,9~14℃
45,2011/02/26,多云,11~18℃
46,2011/02/27,多云~阵雨,7~26℃
47,2011/02/28,小雨,3~8℃
48,2011/03/01,小雨~多云,0~7℃
49,2011/03/02,晴~多云,1~10℃
50,2011/03/03,多云~晴,1~10℃
51,2011/03/04,晴,2~12℃
52,2011/03/05,多云~小雨,7~14℃
53,2011/03/06,中雨~小雨,4~10℃
54,2011/03/07,多云,2~11℃
55,2011/03/08,晴,5~15℃
56,2011/03/09,多云,3~15℃
57,2011/03/10,晴,4~15℃
58,2011/03/11,多云~小雨,8~16℃
59,2011/03/12,多云,10~17℃
60,2011/03/13,多云~阵雨,12~21℃
61,2011/03/14,小雨,5~17℃
62,2011/03/15,阴~多云,3~10℃
63,2011/03/16,多云~晴,2~13℃
64,2011/03/17,晴,5~15℃
65,2011/03/18,小雨,9~14℃
66,2011/03/19,阵雨~小到中雨,13~17℃
67,2011/03/20,阵雨~中雨,7~20℃
68,2011/03/21,中雨,3~8℃
69,2011/03/22,小雨~阴,2~8℃
70,2011/03/23,多云,4~11℃
71,2011/03/24,多云,4~16℃
72,2011/03/25,晴,5~15℃
73,2011/03/26,多云,5~14℃
74,2011/03/27,多云~晴,6~17℃
75,2011/03/28,晴~多云,6~20℃
76,2011/03/29,晴,6~18℃
77,2011/03/30,晴,7~20℃
78,2011/04/01,多云,12~23℃
79,2011/04/02,小雨,7~20℃
80,2011/04/03,小雨,6~10℃
81,2011/04/04,多云,7~14℃
82,2011/04/05,晴~多云,7~18℃
83,2011/04/06,多云~阵雨,13~19℃
84,2011/04/07,阵雨,11~18℃
85,2011/04/08,阴,9~18℃
